time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,0.000000,-0.000000,0.000000,-0.000018
0.010000,0.000000,-0.000000,0.000002,-0.000017
0.015000,0.000000,-0.000000,0.000005,-0.000014
0.020000,0.000000,-0.000000,0.000012,-0.000010
0.025000,0.000000,-0.000000,0.000018,-0.000001
0.030000,0.000000,-0.000000,0.000020,0.000004
0.035000,0.000000,-0.000000,0.000011,0.000000
0.040000,0.000000,-0.000000,-0.000012,-0.000012
0.045000,0.000000,-0.000000,-0.000050,-0.000049
0.050000,-0.000000,-0.000001,-0.000101,-0.000085
0.055000,-0.000001,-0.000001,-0.000163,-0.000153
0.060000,-0.000002,-0.000002,-0.000237,-0.000208
0.065000,-0.000003,-0.000003,-0.000320,-0.000303
0.070000,-0.000005,-0.000005,-0.000408,-0.000373
0.075000,-0.000008,-0.000007,-0.000496,-0.000479
0.080000,-0.000010,-0.000009,-0.000581,-0.000548
0.085000,-0.000013,-0.000013,-0.000668,-0.000651
0.090000,-0.000017,-0.000015,-0.000760,-0.000721
0.095000,-0.000021,-0.000020,-0.000858,-0.000834
0.100000,-0.000026,-0.000023,-0.000965,-0.000916
0.105000,-0.000031,-0.000029,-0.001079,-0.001050
0.110000,-0.000037,-0.000033,-0.001198,-0.001144
0.115000,-0.000043,-0.000040,-0.001318,-0.001288
0.120000,-0.000050,-0.000046,-0.001437,-0.001384
0.125000,-0.000058,-0.000054,-0.001555,-0.001526
0.130000,-0.000066,-0.000061,-0.001672,-0.001620
0.135000,-0.000074,-0.000071,-0.001787,-0.001760
0.140000,-0.000084,-0.000078,-0.001897,-0.001850
0.145000,-0.000093,-0.000089,-0.001998,-0.001978
0.150000,-0.000104,-0.000097,-0.002088,-0.002055
0.155000,-0.000114,-0.000110,-0.002164,-0.002155
0.160000,-0.000125,-0.000118,-0.002227,-0.002210
0.165000,-0.000137,-0.000132,-0.002275,-0.002276
0.170000,-0.000148,-0.000141,-0.002311,-0.002310
0.175000,-0.000160,-0.000155,-0.002337,-0.002346
0.180000,-0.000172,-0.000164,-0.002357,-0.002362
0.185000,-0.000183,-0.000178,-0.002376,-0.002385
0.190000,-0.000195,-0.000188,-0.002397,-0.002401
0.195000,-0.000207,-0.000202,-0.002417,-0.002427
0.200000,-0.000220,-0.000212,-0.002434,-0.002442
0.205000,-0.000232,-0.000227,-0.002446,-0.002459
0.210000,-0.000244,-0.000237,-0.002453,-0.002467
0.215000,-0.000256,-0.000251,-0.002455,-0.002472
0.220000,-0.000269,-0.000261,-0.002455,-0.002472
