time, Quad.Pos.Z, Quad.Est.Z, Quad.Vel.Z, Quad.Est.VZ
0.005000,-1.000001,-0.999999,-0.000347,0.000026
0.010000,-1.000004,-1.000000,-0.000961,-0.000378
0.015000,-1.000012,-1.000004,-0.001677,-0.001280
0.020000,-1.000023,-1.000010,-0.002633,-0.002046
0.025000,-1.000040,-1.000025,-0.003904,-0.003384
0.030000,-1.000064,-1.000039,-0.005687,-0.004753
0.035000,-1.000099,-1.000073,-0.007407,-0.006907
0.040000,-1.000139,-1.000101,-0.008317,-0.007734
0.045000,-1.000183,-1.000150,-0.009446,-0.009010
0.050000,-1.000235,-1.000187,-0.010803,-0.010214
0.055000,-1.000292,-1.000250,-0.011745,-0.011301
0.060000,-1.000353,-1.000296,-0.012544,-0.011988
0.065000,-1.000417,-1.000370,-0.013018,-0.012555
0.070000,-1.000483,-1.000420,-0.013216,-0.012778
0.075000,-1.000550,-1.000497,-0.013538,-0.013005
0.080000,-1.000619,-1.000550,-0.014318,-0.013518
0.085000,-1.000695,-1.000633,-0.015706,-0.015044
0.090000,-1.000777,-1.000695,-0.016767,-0.016058
0.095000,-1.000864,-1.000793,-0.017620,-0.017001
0.100000,-1.000954,-1.000861,-0.018423,-0.017560
0.105000,-1.001049,-1.000969,-0.019486,-0.018824
0.110000,-1.001150,-1.001045,-0.020546,-0.019625
0.115000,-1.001255,-1.001165,-0.021243,-0.020628
0.120000,-1.001362,-1.001248,-0.021545,-0.020857
0.125000,-1.001470,-1.001373,-0.021903,-0.021192
0.130000,-1.001582,-1.001459,-0.022691,-0.021682
0.135000,-1.001698,-1.001591,-0.023574,-0.022677
0.140000,-1.001818,-1.001682,-0.024458,-0.023316
0.145000,-1.001943,-1.001824,-0.025243,-0.024405
0.150000,-1.002072,-1.001922,-0.025971,-0.025017
0.155000,-1.002203,-1.002074,-0.026197,-0.025433
0.160000,-1.002334,-1.002175,-0.026415,-0.025506
0.165000,-1.002467,-1.002329,-0.026749,-0.025949
0.170000,-1.002602,-1.002433,-0.026963,-0.026063
0.175000,-1.002737,-1.002590,-0.027102,-0.026310
0.180000,-1.002873,-1.002696,-0.027340,-0.026445
0.185000,-1.003011,-1.002856,-0.027901,-0.027122
0.190000,-1.003151,-1.002964,-0.028131,-0.027447
0.195000,-1.003291,-1.003128,-0.027555,-0.026820
0.200000,-1.003428,-1.003235,-0.027541,-0.026695
0.205000,-1.003567,-1.003396,-0.027853,-0.026983
0.210000,-1.003707,-1.003504,-0.028137,-0.027333
0.215000,-1.003847,-1.003668,-0.027946,-0.027143
0.220000,-1.003986,-1.003776,-0.027905,-0.027024
0.225000,-1.004126,-1.003939,-0.028016,-0.027165
0.230000,-1.004267,-1.004048,-0.028328,-0.027281
0.235000,-1.004410,-1.004212,-0.028901,-0.027850
0.240000,-1.004558,-1.004325,-0.029851,-0.028635
0.245000,-1.004709,-1.004499,-0.030344,-0.029408
0.250000,-1.004861,-1.004616,-0.030592,-0.029539
0.255000,-1.005014,-1.004794,-0.030583,-0.029647
0.260000,-1.005166,-1.004913,-0.030210,-0.029447
0.265000,-1.005317,-1.005088,-0.030023,-0.029151
0.270000,-1.005466,-1.005205,-0.029950,-0.028957
0.275000,-1.005616,-1.005379,-0.030003,-0.029017
0.280000,-1.005767,-1.005495,-0.030126,-0.029213
0.285000,-1.005917,-1.005670,-0.030150,-0.029180
0.290000,-1.006069,-1.005787,-0.030488,-0.029442
0.295000,-1.006222,-1.005965,-0.030514,-0.029668
0.300000,-1.006374,-1.006084,-0.030269,-0.029612
0.305000,-1.006524,-1.006260,-0.029788,-0.029010
0.310000,-1.006671,-1.006376,-0.029213,-0.028594
0.314999,-1.006814,-1.006545,-0.028132,-0.027247
0.319999,-1.006951,-1.006653,-0.027108,-0.026388
0.324999,-1.007085,-1.006810,-0.026659,-0.025761
0.329999,-1.007217,-1.006912,-0.026427,-0.025378
0.334999,-1.007349,-1.007065,-0.026434,-0.025419
0.339999,-1.007481,-1.007166,-0.026245,-0.025358
0.344999,-1.007611,-1.007317,-0.025793,-0.024850
0.349999,-1.007738,-1.007416,-0.025022,-0.024163
0.354999,-1.007860,-1.007559,-0.024192,-0.023162
0.359999,-1.007979,-1.007651,-0.023427,-0.022510
0.364999,-1.008095,-1.007785,-0.023022,-0.021905
0.369999,-1.008209,-1.007872,-0.022703,-0.021557
0.374999,-1.008322,-1.008002,-0.022391,-0.021380
0.379999,-1.008433,-1.008087,-0.022136,-0.021129
0.384999,-1.008542,-1.008213,-0.021665,-0.020550
0.389999,-1.008650,-1.008295,-0.021436,-0.020328
0.394998,-1.008757,-1.008416,-0.021356,-0.020151
0.399998,-1.008863,-1.008497,-0.021159,-0.020016
0.404998,-1.008967,-1.008616,-0.020595,-0.019443
0.409998,-1.009068,-1.008693,-0.019687,-0.018756
0.414998,-1.009164,-1.008803,-0.019008,-0.017818
0.419998,-1.009257,-1.008874,-0.018218,-0.017120
0.424998,-1.009346,-1.008975,-0.017793,-0.016558
0.429998,-1.009435,-1.009041,-0.017726,-0.016471
0.434998,-1.009525,-1.009141,-0.018409,-0.017167
0.439998,-1.009619,-1.009210,-0.018880,-0.017643
0.444998,-1.009714,-1.009316,-0.019235,-0.018029
